StageID,CityNo,CityEN,CityCN,Description,Tip1,Tip2,Tip3
1,A,Saint-Jean-Pied-de-Port,SJPP,這座法國小鎮是朝聖之路的起點，保存著濃厚的巴斯克風情。街道石板古樸，建築低矮，周圍群山環繞，充滿歷史氛圍。朝聖者辦公室提供護照與貝殼，帶來啟程儀式感。,🎒 裝備要輕，背包不可超過體重10%,🌅 早晨5點出發，避開中午烈陽,📓 每到一站蓋章，記錄旅程
1,B,Orisson,奧里松庇護所,半山腰的小庇護所，是跨越庇里牛斯山的休息站。雖然設施簡單，但夏天停留能有效分散體力消耗，與全球朝聖者交流非常純粹。,🎒 減少負重只帶必需品,🛏️ 提早預訂床位,🦶 睡前按摩腳底恢復體力
1,C,Burguete,布爾格特,進入西班牙後的第一個小鎮，環境乾淨寧靜，高海拔帶來夜晚涼意，是翻山後放鬆肌肉與補給的理想地點。,🧥 輕便衣物應對溫差,📓 記得蓋章,🌅 早起避開高溫
1,D,Larrasoaña,拉拉索阿尼亞,擁有古老石橋的小村莊，傍晚漫步橋邊愜意。庇護所床位競爭激烈，需提早抵達，進入前準備乾糧。,🥖 攜帶簡單乾糧,🛏️ 提早抵達庇護所,🌉 欣賞古橋風貌
1,E,Cizur Menor,西祖爾梅諾爾,位於潘普洛納郊區，避開市區喧囂。鎮上有聖殿騎士教堂，環境安靜，是翻山後的重要休息點。,🎒 輕量背包,🗺️ 提前規劃住宿,🦶 睡前足部放鬆
2,A,Puente la Reina,普恩特拉雷納,因中世紀石橋聞名，是多條朝聖路匯合地標。葡萄園與農田景觀交織，歷史氛圍濃厚。,🌉 石橋拍照留念,💧 補充水與零食,🚶 河畔慢步
2,B,Lorca,洛爾卡,丘陵與葡萄園間的小鎮，以友善庇護所與美食聞名，適合放慢節奏。,🚶 慢節奏散步,🍲 餐館補充熱量,🦶 餐後泡腳
2,C,Villamayor de Monjardín,蒙哈爾丁,Irache 酒泉所在地，可免費品酒。古堡遺跡俯瞰葡萄園視野極佳。,🍷 酒泉適量品嚐,🔭 觀景葡萄園,💧 飲酒後補水
2,D,Torres del Río,托雷斯德爾里奧,以八角形聖墓教堂聞名，炎夏中的重要補給點。,⛪ 參觀八角教堂,💧 每小時喝水,📖 聽當地故事
2,E,Logroño,洛格羅尼奧,里奧哈首府，美食與葡萄酒文化集中地，Tapas 老街熱鬧非凡。,🍢 探索 Tapas 街,🌙 放慢晚餐節奏,🌉 漫步石橋
