階段,城市編號,城市英文,城市中文,描述,提示1,提示2,提示3
1,A,Saint‑Jean‑Pied‑de‑Port,SJPP,這座法國小鎮是朝聖之路的起點，保存著濃厚的巴斯克風情。街道石板古樸，建築低矮，周圍群山環繞，充滿歷史氛圍。朝聖者辦公室提供護照與貝殼，帶來啟程儀式感。,【竹蜻蜓】：裝備要輕，背包不可超過體重10%,【隨意門】：早晨5點出發，避開中午烈陽,【記憶吐司】：每到一站蓋章，記錄你的朝聖旅程
1,B,Orisson,奧里森（庇護所）,半山腰的小庇護所，是跨越庇里牛斯山的休息站。雖然設施簡單，無網路、洗澡時間有限，但夏天停留能有效分散體力消耗。與全球朝聖者圍爐夜話，是最純粹的交流體驗。,【竹蜻蜓】：減少負重，只帶必需品,【隨意門】：提早預訂床位，避免滿額,【時光布】：睡前按摩腳底，恢復隔日體力
1,C,Burguete,布爾格特,進入西班牙後的第一個小鎮，環境乾淨寧靜，曾吸引海明威駐足。高海拔帶來夜晚涼意，適合翻山後休息。鎮內小商店提供簡單補給，是放鬆肌肉與補充能量的理想地點。,【竹蜻蜓】：輕便衣物應對溫差,【記憶吐司】：蓋章記錄行程,【隨意門】：早起避開正午高溫
1,D,Larrasoaña,拉拉索安尼亞,擁有古老石橋的小村莊，傍晚漫步橋邊非常愜意。公立庇護所床位競爭激烈，夏天建議提早抵達。鎮上超市規模小，進入前準備乾糧避免餓肚子。,【竹蜻蜓】：攜帶簡單乾糧,【隨意門】：提早抵達庇護所,【放大燈】：觀察古橋與小鎮風貌
1,E,Cizur Menor,西祖爾小村,位於潘普洛納郊區的小鎮，避開市區喧囂與高房價。鎮上有聖殿騎士教堂，氣氛莊嚴神聖。住宿環境安靜，是翻山前最後的補給與休息之地。,【竹蜻蜓】：輕量背包保持靈活,【隨意門】：提前規劃住宿,【時光布】：睡前足部按摩恢復體力
2,A,Puente la Reina,瑞納橋（普恩特拉雷納）,這是一個因標誌性中世紀石橋而著名的小鎮，該橋跨越阿爾加河，是多條朝聖路匯合的象徵性地標。朝聖者在此開始融入納瓦拉葡萄園與溫和農田景觀，感受歷史與自然的交織。,【聯誼橋】在石橋上合影留念,【能量補給】在鎮上補充水與零食,【慢步觀景】沿 Arga 河畔散步
2,B,Lorca,洛爾卡,位於葡萄園與丘陵之間的溫馨小鎮，以友善的庇護所與地方美食聞名。這裡是從平原進入葡萄酒區後的第一個放鬆點，適合享受安靜步伐並觀察周遭農舍與橄欖樹。,【小鎮慢行】享受慢節奏散步,【餐食能量】在當地小餐館補充熱量,【足部保養】餐後泡腳放鬆
2,C,Villamayor de Monjardín,蒙哈爾丁山谷,這座小鎮周邊是著名的 Irache 酒泉，朝聖者可以在此免費飲用葡萄酒（適量）。附近古堡遺跡俯瞰葡萄園，提供絕佳視野，是短暫放鬆與社交的絕佳地點。,【酒泉小憩】葡萄酒適量補充,【放大燈】觀景葡萄園風光,【補水提醒】飲酒後仍需補水
2,D,Torres del Río,里奧河塔,這裡以八角形的聖墓教堂聞名，是第二段徒步中最具特色的歷史地標之一。小鎮環境安靜，提供簡單補給，炎夏中這裡的庇護所與清泉是重要的補充點。,【聖堂巡禮】參觀八角教堂,【水分補給】每小時喝水,【歷史連結】聽當地人故事
2,E,Logroño,洛格羅尼奧,里奧哈大區的首府，融合美食與葡萄酒文化，是這段路最具代表性的城市。老城區的 Tapas 小吃街充滿熱鬧氣氛，各式餐館與酒吧充滿選擇，適合作為休息與補給重點。,【美食街】探索 Tapas 文化,【節奏放慢】在月桂街享受晚餐,【鐵橋漫步】經過埃布羅河石橋
